[2023-03-15 07:37:07] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:07] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:07] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:07] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:07] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:07] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:07] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:07] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:08] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:08] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:08] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:08] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:08] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:09] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:09] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:09] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:09] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:09] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:10] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:10] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:11] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:11] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:12] local.INFO: Customers Imported =>  {"total":"successful"} 
